from_pin.full_name,to_pin.full_name,delay_max_rise,delay_max_fall,variation_delay_max_rise.mean,variation_delay_max_rise.std_dev,variation_delay_max_fall.mean,variation_delay_max_fall.std_dev
i58/i431/Y,i58/i500/B,0.0018087822906132087,0.0017979506772292095,0.0018087822906132087,UNINIT,0.0017979506772292095,UNINIT
i58/i431/Y,i58/i139/A2,0.0014733700370861413,0.001466292365304156,0.0014733700370861413,UNINIT,0.001466292365304156,UNINIT
i58/i431/Y,i58/i419/A,0.001843088182074126,0.0018318471739497964,0.001843088182074126,UNINIT,0.0018318471739497964,UNINIT
i58/i431/Y,i58/i351/B,0.0014626425071107008,0.0014556481020555623,0.0014626425071107008,UNINIT,0.0014556481020555623,UNINIT
i58/i431/Y,i58/i514/A,0.001674216321134736,0.001664876569940077,0.001674216321134736,UNINIT,0.001664876569940077,UNINIT
i58/i431/Y,i58/i394/B,0.0019055729216788107,0.0018932355683176636,0.0019055729216788107,UNINIT,0.0018932355683176636,UNINIT
i58/i431/Y,i58/i338/A,0.0019017704078194695,0.001889384482200995,0.0019017704078194695,UNINIT,0.001889384482200995,UNINIT
i58/i431/Y,i58/i215/B1,0.0010197467870121102,0.0010162148900150214,0.0010197467870121102,UNINIT,0.0010162148900150214,UNINIT
i58/i431/Y,i58/i522/C2,0.000663059884775663,0.0006615055725411878,0.000663059884775663,UNINIT,0.0006615055725411878,UNINIT
i58/i431/Y,i58/i183/C2,0.0005532033164890038,0.0005526967772340186,0.0005532033164890038,UNINIT,0.0005526967772340186,UNINIT
i58/i431/Y,i58/i287/B2,0.0005297914884572208,0.0005292641325205238,0.0005297914884572208,UNINIT,0.0005292641325205238,UNINIT
i58/i431/Y,i58/i292/B1,0.00040351749719391705,0.00040295544678770057,0.00040351749719391705,UNINIT,0.00040295544678770057,UNINIT
i58/i431/Y,i58/i312/A,0.000613543937877381,0.000613245565439513,0.000613543937877381,UNINIT,0.000613245565439513,UNINIT
i58/i418/Y,i58/i318/A,0.0006064662660953957,0.0006079720060725435,0.0006064662660953957,UNINIT,0.0006079720060725435,UNINIT
i58/i418/Y,i58/i288/A1,0.0005073164111024653,0.0005083641840819553,0.0005073164111024653,UNINIT,0.0005083641840819553,UNINIT
i58/i418/Y,i58/i224/A2,0.0006073822000907114,0.0006085687509482796,0.0006073822000907114,UNINIT,0.0006085687509482796,UNINIT
